N00000939,NY
N00001003,NY
N00001024,NY
N00001093,NY
N00001102,NY
N00001171,NY
N00001193,NY
N00001285,NY
N00001813,NY
N00026961,NY
N00027060,NY
N00027658,NY
N00029404,NY
N00030196,NY
N00030949,NY
N00033640,NY
N00034277,NY
N00034547,NY
N00034549,NY
N00035523,NY
N00035927,NY
N00035934,NY
N00038742,NY
N00040741,NY
N00041162,NY
N00041385,NY
N00041588,NY
N00043207,NY
N00044575,NY
N00003522,OH
N00003535,OH
N00003682,OH
N00003689,OH
N00012233,OH
N00025175,OH
N00025280,OH
N00027894,OH
N00029574,OH
N00030490,OH
N00031128,OH
N00032088,OH
N00033310,OH
N00033904,OH
N00035007,OH
N00038767,OH
N00041690,OH
N00042194,OH
N00005559,OK
N00005582,OK
N00025726,OK
N00031129,OK
N00033410,OK
N00040829,OK
N00041394,OK
N00007690,OR
N00007724,OR
N00007727,OR
N00007781,OR
N00029303,OR
N00030071,OR
N00033474,OR
N00001373,PA
N00001489,PA
N00027503,PA
N00029416,PA
N00029736,PA
N00031647,PA
N00031777,PA
N00034120,PA
N00034128,PA
N00035307,PA
N00038450,PA
N00038779,PA
N00038781,PA
N00040949,PA
N00041870,PA
N00041871,PA
N00041997,PA
N00042706,PA
N00042894,PA
N00043242,PA
N00044065,PA
N00037615,PR
N00000362,RI
N00009724,RI
N00027533,RI
N00032019,RI
N00002408,SC
N00009975,SC
N00024809,SC
N00027783,SC
N00030752,SC
N00031782,SC
N00033832,SC
N00041400,SC
N00042715,SC
N00004572,SD
N00035187,SD
N00040559,SD
N00003105,TN
N00003132,TN
N00003225,TN
N00009888,TN
N00025445,TN
N00028463,TN
N00030815,TN
N00030957,TN
N00041594,TN
N00041599,TN
N00041873,TN
N00005736,TX
N00005818,TX
N00005883,TX
N00006023,TX
N00006052,TX
N00008122,TX
N00008799,TX
N00024852,TX
N00024978,TX
N00025095,TX
N00025219,TX
N00026041,TX
N00026148,TX
N00026460,TX
N00026686,TX
N00026710,TX
N00027709,TX
N00029285,TX
N00030602,TX
N00031417,TX
N00031545,TX
N00033085,TX
N00033316,TX
N00033539,TX
N00033839,TX
N00034349,TX
N00035972,TX
N00038285,TX
N00038809,TX
N00040989,TX
N00041194,TX
N00041702,TX
N00041882,TX
N00042224,TX
N00042237,TX
N00042240,TX
