Symbol,Market_Cap,Orgname,State,contrib_id,candi_id
SPG^J,0,Simon Property Group,None,Simon%20Property%20Group--N00025280,N00025280
SPR,5303689809,Spirit Aerosystems,None,Spirit%20Aerosystems--N00005282,N00005282
STT,29476178853,State Street Corp,Massachusetts,State%20Street%20Corp--N00000153,N00000153
STT^D,0,State Street Corp,None,State%20Street%20Corp--N00000153,N00000153
STT^G,0,State Street Corp,None,State%20Street%20Corp--N00000153,N00000153
STZ,45010093247,Constellation Brands,New York,Constellation%20Brands--N00004884,N00004884
STZ/B,0,Constellation Brands,None,Constellation%20Brands--N00004884,N00004884
SY,1294050012,Young,None,,
SYX,1426161069,Systemax Inc,None,Systemax%20Inc--N00038742,N00038742
T,2.14E+11,AT&T Inc,Texas,AT&T%20Inc--N00002577,N00002577
T^A,0,AT&T Inc,None,AT&T%20Inc--N00002577,N00002577
T^C,0,AT&T Inc,None,AT&T%20Inc--N00002577,N00002577
TAK,61037739798,Takeda Pharmaceutical Co,Tokyo To,Takeda%20Pharmaceutical%20Co--N00035278,N00035278
TBB,0,AT&T Inc,Texas,AT&T%20Inc--N00002577,N00002577
TBC,0,AT&T Inc,Texas,AT&T%20Inc--N00002577,N00002577
TDG,33078045163,Transdigm Group,None,Transdigm%20Group--N00035007,N00035007
TELL,987728855,Tellurian Inc,Texas,Tellurian%20Inc--N00026823,N00026823
TFC,78474313266,Truist Financial,North Carolina,Truist%20Financial--N00001489,N00001489
TFC^H,0,Truist Financial,None,Truist%20Financial--N00001489,N00001489
TFC^I,0,Truist Financial,None,Truist%20Financial--N00001489,N00001489
TFC^O,0,Truist Financial,None,Truist%20Financial--N00001489,N00001489
TFC^R,0,Truist Financial,None,Truist%20Financial--N00001489,N00001489
TGT,89067808233,Target Corp,Minnesota,Target%20Corp--N00004572,N00004572
TKR,6332824429,Timken Co,Ohio,Timken%20Co--N00041690,N00041690
TM,2.13E+11,Toyota Motor Corp,Aichi Ken,Toyota%20Motor%20Corp--N00034547,N00034547
TRV,39353005811,Travelers Companies,Minnesota,Travelers%20Companies--N00000575,N00000575
TXT,12255095750,Textron Inc,Rhode Island,Textron%20Inc--N00003813,N00003813
UAL,19089149747,United Airlines Holdings,Illinois,United%20Airlines%20Holdings--N00004981,N00004981
UEIC,845912263,Electronics Inc,Arizona,Electronics%20Inc--N00031226,N00031226
UNP,1.41E+11,Union Pacific Corp,Nebraska,Union%20Pacific%20Corp--N00013323,N00013323
UPS,1.39E+11,United Parcel Service,Georgia,United%20Parcel%20Service--N00003389,N00003389
UTF,2434203128,Cohen,New York,,
UUUU,960814521,Energy Fuels,Colorado,Energy%20Fuels--N00006236,N00006236
V,4.82E+11,Visa Inc,California,Visa%20Inc--N00029649,N00029649
VAR,16199448225,Varian Medical Systems,California,Varian%20Medical%20Systems--N00033399,N00033399
VLO,31696309084,Valero Energy,Texas,Valero%20Energy--N00005582,N00005582
VRTX,56187767801,Vertex Pharmaceuticals,Massachusetts,Vertex%20Pharmaceuticals--N00006236,N00006236
VZ,2.30E+11,Verizon Communications,New York,Verizon%20Communications--N00032088,N00032088
WDAY,61932213000,Workday Inc,California,Workday%20Inc--N00037515,N00037515
