Symbol,Market_Cap,Orgname,State,contrib_id,candi_id
EPD,50635134246,Enterprise Products Partners,Texas,Enterprise%20Products%20Partners--N00036135,N00036135
EPZM,904361164,Epizyme,Massachusetts,Epizyme--N00027566,N00027566
ERC,347431287,Wells Fargo,California,Wells%20Fargo--N00008046,N00008046
ERH,119972966,Wells Fargo,California,Wells%20Fargo--N00008046,N00008046
ES,28397248671,Eversource Energy,Massachusetts,Eversource%20Energy--N00013855,N00013855
ET,21870955893,Energy Transfer LP,Texas,Energy%20Transfer%20LP--N00028152,N00028152
ETN,54253068000,Eaton Corp,3None Pembroke Road,Eaton%20Corp--N00035007,N00035007
ETR,19952771502,Entergy Corp,Louisiana,Entergy%20Corp--N00030184,N00030184
EW,50323730786,Edwards Lifesciences,California,Edwards%20Lifesciences--N00000286,N00000286
EXAS,21148481771,Exact Sciences Corp,Wisconsin,Exact%20Sciences%20Corp--N00033549,N00033549
EXC,41919063400,Exelon Corp,Illinois,Exelon%20Corp--N00004133,N00004133
F,49077203035,Ford Motor Co,Michigan,Ford%20Motor%20Co--N00004133,N00004133
F^B,0,Ford Motor Co,None,Ford%20Motor%20Co--N00004133,N00004133
F^C,0,Ford Motor Co,None,Ford%20Motor%20Co--N00004133,N00004133
FAST,27373218319,Fastenal Co,Minnesota,Fastenal%20Co--N00031390,N00031390
FB,7.97E+11,Facebook Inc,California,Facebook%20Inc--N00002408,N00002408
FCFS,2827939192,FirstCash Inc,Texas,FirstCash%20Inc--N00042237,N00042237
FCX,49696210000,Freeport-McMoRan,Arizona,Freeport-McMoRan--N00030771,N00030771
FDX,69104566011,FedEx Corp,Tennessee,FedEx%20Corp--N00003225,N00003225
FE,19354699335,FirstEnergy Corp,Ohio,FirstEnergy%20Corp--N00009771,N00009771
FEIM,109474618,Electronics Inc,New York,Electronics%20Inc--N00031226,N00031226
FMS,21163260948,Fresenius Medical Care,Hessen,Fresenius%20Medical%20Care--N00000286,N00000286
FOF,360511939,Cohen,New York,,
FTS,19862340000,Fortis Inc,Newfoundland And Labrador,Fortis%20Inc--N00004118,N00004118
FWONA,9697069125,Liberty Media Corp,Colorado,Liberty%20Media%20Corp--N00041080,N00041080
FWONK,10983675237,Liberty Media Corp,Colorado,Liberty%20Media%20Corp--N00041080,N00041080
GBX,1565708616,Greenbrier Companies,Oregon,Greenbrier%20Companies--N00007724,N00007724
GD,50253764398,General Dynamics,Virginia,General%20Dynamics--N00000362,N00000362
GE,1.18E+11,General Electric,Massachusetts,General%20Electric--N00007836,N00007836
GER,165992219,Goldman Sachs,New York,Goldman%20Sachs--N00000491,N00000491
GH,14491599361,Guardant Health,None,Guardant%20Health--N00036915,N00036915
GILD,80202058182,Gilead Sciences,California,Gilead%20Sciences--N00000781,N00000781
GIS,36343791385,General Mills,Minnesota,General%20Mills--N00041134,N00041134
GJS,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GLW,31568394720,Corning Inc,New York,Corning%20Inc--N00028139,N00028139
GM,83054214945,General Motors,Michigan,General%20Motors--N00003522,N00003522
GNW,1752577891,Genworth Financial,Virginia,Genworth%20Financial--N00030949,N00030949
GOLD,36692948463,Barrick Gold Corp,None,Barrick%20Gold%20Corp--N00031177,N00031177
GOOG,1.40E+12,Alphabet Inc,California,Alphabet%20Inc--N00000270,N00000270
GOOGL,1.39E+12,Alphabet Inc,California,Alphabet%20Inc--N00000270,N00000270
GPN,63781432134,Global Payments,Georgia,Global%20Payments--N00039090,N00039090
GS,1.18E+11,Goldman Sachs,New York,Goldman%20Sachs--N00000491,N00000491
GS^A,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GS^C,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GS^D,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GS^J,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GS^K,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GS^N,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GSBD,2038954872,Goldman Sachs,New York,Goldman%20Sachs--N00000491,N00000491
GSEE,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GSID,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GSUS,0,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GTIP,28260000,Goldman Sachs,None,Goldman%20Sachs--N00000491,N00000491
GTN,1880621554,Gray Television,Georgia,Gray%20Television--N00004614,N00004614
HAL,20154191337,Halliburton Co,Texas,Halliburton%20Co--N00006249,N00006249
HALL,67644850,Hall,Texas,,
HBAN,16276378481,Huntington Bancshares,Ohio,Huntington%20Bancshares--N00033904,N00033904
HBANN,0,Huntington Bancshares,Ohio,Huntington%20Bancshares--N00033904,N00033904
HBANO,0,Huntington Bancshares,Ohio,Huntington%20Bancshares--N00033904,N00033904
HBANP,0,Huntington Bancshares,Ohio,Huntington%20Bancshares--N00033904,N00033904
HD,3.04E+11,Home Depot,Georgia,Home%20Depot--N00002577,N00002577
HE,4454589859,Hawaiian Electric Industries,Hawaii,Hawaiian%20Electric%20Industries--N00028138,N00028138
HES,21212770812,Hess Corp,New York,Hess%20Corp--N00035504,N00035504
HGH,0,Hartford Financial Services,Connecticut,Hartford%20Financial%20Services--N00027605,N00027605
HIG,20166774735,Hartford Financial Services,Connecticut,Hartford%20Financial%20Services--N00027605,N00027605
HIG^G,0,Hartford Financial Services,None,Hartford%20Financial%20Services--N00027605,N00027605
HII,7808597977,Huntington Ingalls Industries,Virginia,Huntington%20Ingalls%20Industries--N00006052,N00006052
HON,1.48E+11,Honeywell International,North Carolina,Honeywell%20International--N00005559,N00005559
HRB,3797356523,H&R Block,Missouri,H&R%20Block--N00026790,N00026790
HSIC,9505204085,Henry Schein Inc,New York,Henry%20Schein%20Inc--N00034547,N00034547
HTH,3079192640,Hilltop Holdings,Texas,Hilltop%20Holdings--N00005282,N00005282
HUM,52404088253,Humana Inc,Kentucky,Humana%20Inc--N00003389,N00003389
HUN,6170332732,Huntsman Corp,Utah,Huntsman%20Corp--N00006267,N00006267
ICE,64349109929,Intercontinental Exchange Inc,Georgia,Intercontinental%20Exchange%20Inc--N00046125,N00046125
IHRT,2588816610,iHeartMedia Inc,None,iHeartMedia%20Inc--N00004291,N00004291
IIF,265687670,Morgan Stanley,New York,Morgan%20Stanley--N00000751,N00000751
IIIN,710850555,Insteel Industries,North Carolina,Insteel%20Industries--N00035311,N00035311
IIVI,7623533432,II-VI Inc,Pennsylvania,II-VI%20Inc--N00007099,N00007099
IIVIP,0,II-VI Inc,Pennsylvania,II-VI%20Inc--N00007099,N00007099
INFO,37830903440,IHS Markit,London,IHS%20Markit--N00036018,N00036018
INTC,2.61E+11,Intel Corp,California,Intel%20Corp--N00025292,N00025292
INTU,1.07E+11,Intuit Inc,California,Intuit%20Inc--N00007335,N00007335
IP,20929555309,International Paper,Tennessee,International%20Paper--N00030768,N00030768
J,16239956339,Jacobs Engineering Group,Texas,Jacobs%20Engineering%20Group--N00008122,N00008122
JEF,8279599844,Jeffer,New York,,
JNJ,4.23E+11,Johnson & Johnson,New Jersey,Johnson%20&%20Johnson--N00004961,N00004961
JPM^J,0,JPMorgan Chase & Co,None,JPMorgan%20Chase%20&%20Co--N00026460,N00026460
KE,716267651,Electronics Inc,Indiana,Electronics%20Inc--N00031226,N00031226
KEX,4067225672,Kirby Corp,Texas,Kirby%20Corp--N00005736,N00005736
KEY,19696012040,KeyCorp,Ohio,KeyCorp--N00033904,N00033904
KEY^I,0,KeyCorp,None,KeyCorp--N00033904,N00033904
KEY^J,0,KeyCorp,None,KeyCorp--N00033904,N00033904
KEY^K,0,KeyCorp,None,KeyCorp--N00033904,N00033904
KKR,27867618039,KKR & Co,New York,KKR%20&%20Co--N00000491,N00000491
KKR^A,0,KKR & Co,None,KKR%20&%20Co--N00000491,N00000491
KKR^B,0,KKR & Co,None,KKR%20&%20Co--N00000491,N00000491
KKR^C,0,KKR & Co,None,KKR%20&%20Co--N00000491,N00000491
KO,2.21E+11,Coca-Cola Co,Georgia,Coca-Cola%20Co--N00030788,N00030788
KSU,19953821115,Kansas City Southern,Missouri,Kansas%20City%20Southern--N00004572,N00004572
KSU^,0,Kansas City Southern,None,Kansas%20City%20Southern--N00004572,N00004572
KTOS,3253252580,Kratos Defense & Security Solutions,California,Kratos%20Defense%20&%20Security%20Solutions--N00005582,N00005582
KW,2907749216,Wilson,California,,
LB,16589175783,L Brands,Ohio,L%20Brands--N00029574,N00029574
LHCG,6158683332,LHC Group,Louisiana,LHC%20Group--N00000153,N00000153
LHX,39284648769,L3Harris Technologies,Florida,L3Harris%20Technologies--N00000286,N00000286
LIN,1.41E+11,Linde plc,Surrey,Linde%20plc--N00027462,N00027462
LMT,96983483886,Lockheed Martin,Maryland,Lockheed%20Martin--N00000362,N00000362
LOW,1.28E+11,Lowe's Companies,North Carolina,Lowe's%20Companies--N00000515,N00000515
LSXMA,15746368022,Liberty Media Corp,Colorado,Liberty%20Media%20Corp--N00041080,N00041080
LSXMK,15729465523,Liberty Media Corp,Colorado,Liberty%20Media%20Corp--N00041080,N00041080
LUMN,15262647824,Lumen Technologies,Louisiana,Lumen%20Technologies--N00027510,N00027510
LYFT,21337737493,Lyft Inc,California,Lyft%20Inc--N00002147,N00002147
LYV,18784758096,Live Nation Entertainment,California,Live%20Nation%20Entertainment--N00005282,N00005282
MAC,2083177697,Macerich Co,California,Macerich%20Co--N00042126,N00042126
MAR,48924897962,Marriott International,Maryland,Marriott%20International--N00025882,N00025882
MASI,12649962690,Masimo Corp,California,Masimo%20Corp--N00001971,N00001971
MATX,3200737677,Matson Inc,Hawaii,Matson%20Inc--N00028138,N00028138
MCBS,415406404,City Bank,Georgia,City%20Bank--N00038285,N00038285
MCD,1.66E+11,McDonald's Corp,Illinois,McDonald's%20Corp--N00003288,N00003288
MCK,29668809698,McKesson Corp,Texas,McKesson%20Corp--N00025219,N00025219
MD,2354019172,Mednax Inc,None,Mednax%20Inc--N00042811,N00042811
MDP,1565720038,Meredith Corp,Iowa,Meredith%20Corp--N00006561,N00006561
MEI,1774316959,Electronics Inc,Illinois,Electronics%20Inc--N00031226,N00031226
MER^K,0,Bank of America,None,Bank%20of%20America--N00001971,N00001971
MET,52701349639,MetLife Inc,New York,MetLife%20Inc--N00001093,N00001093
MET^A,0,MetLife Inc,None,MetLife%20Inc--N00001093,N00001093
MET^E,0,MetLife Inc,None,MetLife%20Inc--N00001093,N00001093
MET^F,0,MetLife Inc,None,MetLife%20Inc--N00001093,N00001093
MGM,19818876868,MGM Resorts International,Nevada,MGM%20Resorts%20International--N00030191,N00030191
MGR,0,Affiliated Managers Group,FL,Affiliated%20Managers%20Group--N00035544,N00035544
MGRB,0,Affiliated Managers Group,FL,Affiliated%20Managers%20Group--N00035544,N00035544
MGY,2935795086,Magnolia Oil & Gas,None,Magnolia%20Oil%20&%20Gas--N00031696,N00031696
MO,91651986839,Altria Group,Virginia,Altria%20Group--N00002221,N00002221
MOH,13343480000,Molina Healthcare,California,Molina%20Healthcare--N00033373,N00033373
MPC,35833141807,Marathon Petroleum,Ohio,Marathon%20Petroleum--N00012233,N00012233
MPWR,15553111320,Monolithic Power Systems,Washington,Monolithic%20Power%20Systems--N00026148,N00026148
MRK,1.94E+11,Merck & Co,New Jersey,Merck%20&%20Co--N00006249,N00006249
MS,1.55E+11,Morgan Stanley,New York,Morgan%20Stanley--N00000751,N00000751
MS^A,0,Morgan Stanley,None,Morgan%20Stanley--N00000751,N00000751
MS^E,0,Morgan Stanley,None,Morgan%20Stanley--N00000751,N00000751
MS^F,0,Morgan Stanley,None,Morgan%20Stanley--N00000751,N00000751
MS^I,0,Morgan Stanley,None,Morgan%20Stanley--N00000751,N00000751
MS^K,0,Morgan Stanley,None,Morgan%20Stanley--N00000751,N00000751
MS^L,0,Morgan Stanley,None,Morgan%20Stanley--N00000751,N00000751
MSD,182053410,Morgan Stanley,New York,Morgan%20Stanley--N00000751,N00000751
MSFT,1.77E+12,Microsoft Corp,Washington,Microsoft%20Corp--N00000528,N00000528
MTH,3356210003,Meritage Homes,Arizona,Meritage%20Homes--N00006460,N00006460
MTN,12473612428,Vail Resorts,Colorado,Vail%20Resorts--N00041080,N00041080
MUR,2792423003,Murphy Oil,Texas,Murphy%20Oil--N00033363,N00033363
NC,155907354,NACCO Industries,None,NACCO%20Industries--N00042868,N00042868
NEE,1.45E+11,NextEra Energy,None,NextEra%20Energy--N00003389,N00003389
NEE^K,0,NextEra Energy,None,NextEra%20Energy--N00003389,N00003389
